Date,Gallons ,End Mileage,Miles Between,MPG,Days Between,Miles per day
11/17/2020,12.649,286.3,286.3,22.63420033,0,0
12/03/2020,8.661,480.7,194.4,22.4454451,16,12.15
12/17/2020,7.962,644.6,163.9,20.58528008,14,11.70714286
01/08/2021,10.414,874.1,229.5,22.03764164,22,10.43181818
01/21/2021,7.566,1010.4,136.3,18.01480307,13,10.48461538
02/03/2021,7.247,1132.2,121.8,16.8069546,13,9.369230769
2/17/2021,8.352,1266.7,134.5,16.1039272,14,9.607142857
3/9/2021,9.99,1450.6,183.9,18.40840841,20,9.195
3/26/2021,11.124,1678.6,228,20.49622438,17,13.41176471
4/14/2021,8.133,1854,175.4,21.56645764,19,9.231578947
4/27/2021,8.942,2050.4,196.4,21.9637665,13,15.10769231
5/7/2021,9.236,2257.9,207.5,22.46643569,10,20.75
5/19/2021,7.221,2420.3,162.4,22.48995984,12,13.53333333
6/1/2021,8.907,2621.3,201,22.56652071,13,15.46153846
7/3/2021,12.175,2913,291.7,23.95893224,32,9.115625
7/21/2021,10.002,3198.7,285.7,28.56428714,18,15.87222222
8/17/2021,12.288,3471.8,273.1,22.2249349,27,10.11481481
8/30/2021,5.696,3599.2,127.4,22.36657303,13,9.8
9/14/2021,11.021,3835.1,235.9,21.40459123,15,15.72666667
9/30/2021,8.595,3996.2,161.1,18.7434555,16,10.06875
10/11/2021,8.147,4184.4,188.2,23.1005278,11,17.10909091
10/17/2021,8.425,4413.7,229.3,27.21661721,6,38.21666667
10/23/2021,11.281,4701.5,287.8,25.5119227,6,47.96666667
11/3/2021,11.77,4983.1,281.6,23.92523364,11,25.6
11/13/2021,10.951,5239.5,256.4,23.41338691,10,25.64
11/21/2021,8.509,5449.3,209.8,24.65624633,8,26.225
12/4/2021,11.247,5722.8,273.5,24.3175958,13,21.03846154
12/12/2021,7.525,5898.9,176.1,23.40199336,8,22.0125
12/20/2021,9.729,6138.4,239.5,24.61712406,8,29.9375
12/28/2021,4.949,6244.6,106.2,21.45888058,8,13.275
1/9/2022,8.871,6441.1,196.5,22.15082854,12,16.375
1/16/2022,7.011,6587.2,146.1,20.83868207,7,20.87142857
1/23/2022,8.543,6779.1,191.9,22.46283507,7,27.41428571
1/30/2022,7.268,6933.5,154.4,21.24380848,7,22.05714286
2/6/2022,9.069,7145.4,211.9,23.3653104,7,30.27142857
2/13/2022,7.344,7316.4,171,23.28431373,7,24.42857143
2/21/2022,7.234,7484,167.6,23.16837158,8,20.95
2/27/2022,5.189,7597.6,113.6,21.89246483,6,18.93333333
3/6/2022,11.497,7878.9,281.3,24.46725233,7,40.18571429
3/10/2022,9.262,8128.2,249.3,26.91643274,4,62.325
3/13/2022,5.969,8278.4,150.2,25.16334394,3,50.06666667
3/26/2022,10.721,8536.4,258,24.06491932,13,19.84615385
4/2/2022,7.664,8723.5,187.1,24.41283925,7,26.72857143
4/10/2022,4.671,8832.5,109,23.3354742,8,13.625
4/16/2022,6.411,8994.1,161.6,25.20667603,6,26.93333333
4/28/2022,10.265,9242.4,248.3,24.18899172,12,20.69166667
5/4/2022,6.156,9403,160.6,26.08836907,6,26.76666667
5/12/2022,9.368,9645.2,242.2,25.85397096,8,30.275
5/19/2022,12.114,9990.3,345.1,28.48770018,7,49.3
5/31/2022,8.193,10206.8,216.5,26.42499695,12,18.04166667
7/21/2022,8.559,10414.3,207.5,24.24348639,51,4.068627451
8/15/2022,9.92,10683.6,269.3,27.14717742,25,10.772
8/21/2022,8.29,10933,249.4,30.08443908,6,41.56666667
9/19/2022,10.625,11189.2,256.2,24.11294118,29,8.834482759